store_id,store_type,region_id,store_name,store_number,store_street_address,store_city,store_state,store_postal_code,store_country,store_manager,store_phone,store_fax,first_opened_date,last_remodel_date,store_sqft,grocery_sqft,frozen_sqft,meat_sqft,coffee_bar,video_store,salad_bar,prepared_food,florist,lat,long
0,HeadQuarters,0,HQ,0,1 Alameda Way,Alameda,CA,55555,USA,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,37.765206,-122.241636
1,Supermarket,28,Store 1,1,2853 Bailey Rd,Acapulco,Guerrero,55555,Mexico,Jones,262-555-5124,262-555-5121,1/9/82 0:00,12/5/90 0:00,23593,17475,3671,2447,FALSE,FALSE,FALSE,FALSE,FALSE,16.863611,-99.8825
2,Small Grocery,78,Store 2,2,5203 Catanzaro Way,Bellingham,WA,55555,USA,Smith,605-555-8203,605-555-8201,4/2/70 0:00,6/4/73 0:00,28206,22271,3561,2374,TRUE,FALSE,FALSE,FALSE,FALSE,48.74908,-122.478147
3,Supermarket,76,Store 3,3,1501 Ramsey Circle,Bremerton,WA,55555,USA,Davis,509-555-1596,509-555-1591,6/14/59 0:00,11/19/67 0:00,39696,24390,9184,6122,FALSE,FALSE,TRUE,TRUE,FALSE,47.56732,-122.632936
4,Gourmet Supermarket,27,Store 4,4,433 St George Dr,Camacho,Zacatecas,55555,Mexico,Johnson,304-555-1474,304-555-1471,9/27/94 0:00,12/1/95 0:00,23759,16844,4149,2766,TRUE,FALSE,TRUE,TRUE,TRUE,24.865446,-99.566271
5,Small Grocery,4,Store 5,5,1250 Coggins Drive,Guadalajara,Jalisco,55555,Mexico,Green,801-555-4324,801-555-4321,9/18/78 0:00,6/29/91 0:00,24597,15012,5751,3834,TRUE,FALSE,FALSE,FALSE,FALSE,20.659699,-103.349609
6,Gourmet Supermarket,47,Store 6,6,5495 Mitchell Canyon Road,Beverly Hills,CA,55555,USA,Maris,958-555-5002,958-555-5001,1/3/81 0:00,3/13/91 0:00,23688,15337,5011,3340,TRUE,TRUE,TRUE,TRUE,TRUE,34.07362,-118.400356
7,Supermarket,3,Store 7,7,1077 Wharf Drive,Los Angeles,CA,55555,USA,White,477-555-7967,477-555-7961,5/21/71 0:00,10/20/81 0:00,23598,14210,5633,3755,FALSE,FALSE,FALSE,FALSE,TRUE,34.052234,-118.243685
8,Deluxe Supermarket,26,Store 8,8,3173 Buena Vista Ave,Merida,Yucatan,55555,Mexico,Williams,797-555-3417,797-555-3411,9/23/58 0:00,11/18/67 0:00,30797,20141,6393,4262,TRUE,TRUE,TRUE,TRUE,TRUE,20.966044,-89.627433
9,Mid-Size Grocery,2,Store 9,9,1872 El Pintado Road,Mexico City,DF,55555,Mexico,Stuber,439-555-3524,439-555-3521,3/18/55 0:00,6/7/59 0:00,36509,22450,8435,5624,FALSE,FALSE,FALSE,FALSE,FALSE,19.432608,-99.133208
10,Supermarket,24,Store 10,10,7894 Rotherham Dr,Orizaba,Veracruz,55555,Mexico,Merz,212-555-4774,212-555-4771,4/13/79 0:00,1/30/82 0:00,34791,26354,5062,3375,FALSE,FALSE,TRUE,TRUE,FALSE,18.850474,-97.10364
11,Supermarket,22,Store 11,11,5371 Holland Circle,Portland,OR,55555,USA,Erickson,685-555-8995,685-555-8991,9/17/76 0:00,5/15/82 0:00,20319,16232,2452,1635,FALSE,FALSE,FALSE,FALSE,FALSE,45.523452,-122.676207
12,Deluxe Supermarket,25,Store 12,12,1120 Westchester Pl,Hidalgo,Zacatecas,55555,Mexico,Kalman,151-555-1702,151-555-1701,3/25/68 0:00,12/18/93 0:00,30584,21938,5188,3458,TRUE,TRUE,TRUE,TRUE,TRUE,23.073659,-102.722987
13,Deluxe Supermarket,23,Store 13,13,5179 Valley Ave,Salem,OR,55555,USA,Inmon,977-555-2724,977-555-2721,4/13/57 0:00,11/10/97 0:00,27694,18670,5415,3610,TRUE,TRUE,TRUE,TRUE,TRUE,44.942898,-123.035096
14,Small Grocery,1,Store 14,14,4365 Indigo Ct,San Francisco,CA,55555,USA,Strehlo,135-555-4888,135-555-4881,11/24/57 0:00,1/7/58 0:00,22478,15321,4294,2863,TRUE,FALSE,FALSE,FALSE,FALSE,37.774929,-122.419416
15,Supermarket,18,Store 15,15,5006 Highland Drive,Seattle,WA,55555,USA,Ollom,893-555-1024,893-555-1021,7/24/69 0:00,10/19/73 0:00,21215,13305,4746,3164,TRUE,FALSE,FALSE,FALSE,FALSE,47.606209,-122.332071
16,Supermarket,87,Store 16,16,5922 La Salle Ct,Spokane,WA,55555,USA,Mantle,643-555-3645,643-555-3641,8/23/74 0:00,7/13/77 0:00,30268,22063,4923,3282,FALSE,FALSE,FALSE,FALSE,FALSE,47.65878,-117.426047
17,Deluxe Supermarket,84,Store 17,17,490 Risdon Road,Tacoma,WA,55555,USA,Mays,855-555-5581,855-555-5581,5/30/70 0:00,6/23/76 0:00,33858,22123,7041,4694,TRUE,FALSE,TRUE,TRUE,TRUE,47.252877,-122.444291
18,Mid-Size Grocery,25,Store 18,18,6764 Glen Road,Hidalgo,Zacatecas,55555,Mexico,Brown,528-555-8317,528-555-8311,6/28/69 0:00,8/30/75 0:00,38382,30351,4819,3213,FALSE,FALSE,FALSE,FALSE,FALSE,23.073659,-102.722987
19,Deluxe Supermarket,5,Store 19,19,6644 Sudance Drive,Vancouver,BC,55555,Canada,Ruth,862-555-7395,862-555-7391,3/27/77 0:00,10/25/90 0:00,23112,16418,4016,2678,TRUE,TRUE,TRUE,TRUE,TRUE,49.261226,-123.113927
